"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"166",23,"Mannelijk","Poortershuizen",54,0,0,0,2.42857142857143,4,3.6,2.25,0.416981132075472,0.0047169811320753,1
"167",26,"Vrouwelijk","Oosterpoort (greening)",18,0,0,2,5,5,3.4,2,0.216981132075472,-0.245283018867925,3
"168",23,"Vrouwelijk","Poortershuizen",8,0,4,0,2.57142857142857,3.5,2.8,2,-0.383018867924529,-0.245283018867925,1
"169",45,"Anders","Bloemenbuurt",201,0,4,8,4.71428571428571,4.75,4.4,2.5,1.21698113207547,0.254716981132075,3
"170",NA,"","Oosterpoort (greening)",NA,0,4,10,4.42857142857143,4,3.4,2.25,0.216981132075472,0.0047169811320753,NA
"171",3,"Anders","Bloemenbuurt",500,0,0,0,1,1,1,1,-2.18301886792453,-1.24528301886792,1
"172",34,"Vrouwelijk","Bloemenbuurt",75,0,0,4,4.57142857142857,4.75,3.6,1.5,0.416981132075472,-0.745283018867925,3
"173",25,"Vrouwelijk","Poortershuizen",12,0,0,2,5.28571428571429,5,4.2,3.5,1.01698113207547,1.25471698113208,2
"174",23,"Mannelijk","Oosterpoort (greening)",10,0,1,0,3.57142857142857,3.5,2.6,1.75,-0.583018867924528,-0.495283018867925,1
"175",66,"Vrouwelijk","Poortershuizen",300,0,1,4,5.28571428571429,4.25,2.6,1.5,-0.583018867924528,-0.745283018867925,3
"176",25,"Vrouwelijk","Poortershuizen",90,0,0,1,4.14285714285714,4.25,3.2,3.25,0.0169811320754718,1.00471698113208,2
"177",66,"Vrouwelijk","Poortershuizen",360,0,2,2,4.57142857142857,4,3.6,2.25,0.416981132075472,0.0047169811320753,2
"178",55,"Mannelijk","Oosterpoort (greening)",36,0,0,0,4.14285714285714,4.5,4,2,0.816981132075472,-0.245283018867925,1
"179",57,"Vrouwelijk","Oosterpoort (greening)",24,2,0,3,4.14285714285714,4.25,3.2,2,0.0169811320754718,-0.245283018867925,2
"180",47,"Mannelijk","Poortershuizen",20,0,0,5,4.71428571428571,4,3,2,-0.183018867924528,-0.245283018867925,3
"181",NA,"","Oosterpoort (greening)",NA,0,1,0,3.57142857142857,4,2.8,2.25,-0.383018867924529,0.0047169811320753,NA
"182",55,"Mannelijk","Oosterpoort (greening)",240,0,2,2,4.71428571428571,5,3.6,2.75,0.416981132075472,0.504716981132075,3
"183",62,"Mannelijk","Oosterpoort (greening)",60,6,3,7,5,5,3.4,2.5,0.216981132075472,0.254716981132075,3
"184",28,"Mannelijk","Oosterpoort (greening)",120,0,0,8,4.85714285714286,4.5,3.6,2,0.416981132075472,-0.245283018867925,3
"185",65,"Vrouwelijk","Poortershuizen",144,0,0,8,4.85714285714286,5,3.8,3,0.616981132075471,0.754716981132075,3
"186",26,"Vrouwelijk","Oosterpoort (greening)",1,0,0,0,3.14285714285714,4.25,4,3,0.816981132075472,0.754716981132075,1
"187",62,"Vrouwelijk","Oosterpoort (greening)",15,1,0,0,3.85714285714286,5,3.8,2.75,0.616981132075471,0.504716981132075,1
"188",60,"Vrouwelijk","Oosterpoort (greening)",260,1,2,22,5.71428571428571,4.75,2.8,1.75,-0.383018867924529,-0.495283018867925,3
"189",NA,"","Bloemenbuurt",NA,0,1,0,2.85714285714286,3.5,2.4,1.75,-0.783018867924528,-0.495283018867925,NA
"190",NA,"","Bloemenbuurt",NA,0,1,6,5.14285714285714,4,3,1.75,-0.183018867924528,-0.495283018867925,NA
"191",40,"Vrouwelijk","Bloemenbuurt",52,0,2,5,3.28571428571429,4.25,2.6,1.25,-0.583018867924528,-0.995283018867925,1
"192",26,"Mannelijk","Bloemenbuurt",7,0,3,5,4.57142857142857,4.5,3.6,2.25,0.416981132075472,0.0047169811320753,2
"193",37,"Vrouwelijk","Bloemenbuurt",21,0,0,0,5.57142857142857,5,3.2,2.5,0.0169811320754718,0.254716981132075,1
"194",NA,"","Bloemenbuurt",NA,0,3,2,4.42857142857143,4.25,2.6,2.5,-0.583018867924528,0.254716981132075,NA
"195",24,"Mannelijk","Bloemenbuurt",16,1,10,5,3.71428571428571,2,2.2,1.5,-0.983018867924528,-0.745283018867925,3
"196",72,"Mannelijk","Oosterpoort (greening)",480,0,0,10,5,4,3.2,2.25,0.0169811320754718,0.0047169811320753,3
